Round,Overall,Player,Team,Year,Pos,School
1,1,Adley Rutschman, Orioles,2019,C,Oregon State
1,1,Henry Davis, Pirates,2021,C,Louisville
1,1,Casey Mize, Tigers,2018,RHP,Auburn
1,1,Spencer Torkelson, Tigers,2020,1B,Arizona State
1,1,Jackson Holliday, Orioles,2022,SS,Stillwater HS
1,2,Druw Jones, D-backs,2022,OF,Wesleyan HS
1,2,Bobby Witt Jr., Royals,2019,SS,Colleyville Heritage HS
1,2,Heston Kjerstad, Orioles,2020,OF,Arkansas
1,2,Jack Leiter, Rangers,2021,RHP,Vanderbilt
1,2,Joey Bart, Giants,2018,C,Georgia Tech
1,3,Alec Bohm, Phillies,2018,1B,Wichita State
1,3,Jackson Jobe, Tigers,2021,RHP,Heritage Hall School
1,3,Kumar Rocker, Rangers,2022,RHP,Vanderbilt
1,3,Andrew Vaughn, White Sox,2019,1B,California
1,3,Max Meyer, Marlins,2020,RHP,Minnesota
1,4,JJ Bleday, Marlins,2019,OF,Vanderbilt
1,4,Termarr Johnson, Pirates,2022,SS,Mays HS
1,4,Marcelo Mayer, Red Sox,2021,SS,Eastlake HS
1,4,Asa Lacy, Royals,2020,LHP,Texas A&M
1,4,Nick Madrigal, White Sox,2018,3B,Oregon State
1,5,Jonathan India, Reds,2018,2B,Florida
1,5,Colton Cowser, Orioles,2021,OF,Sam Houston
1,5,Austin Martin, Blue Jays,2020,SS,Vanderbilt
1,5,Elijah Green, Nationals,2022,OF,IMG Academy HS
1,5,Riley Greene, Tigers,2019,OF,Hagerty HS
1,6,Jordan Lawlar, D-backs,2021,SS,Jesuit College Prep
1,6,CJ Abrams, Padres,2019,SS,Blessed Trinity HS
1,6,Jarred Kelenic, Mets,2018,OF,Waukesha West HS
1,6,Emerson Hancock, Mariners,2020,RHP,Georgia
1,6,Jacob Berry, Marlins,2022,3B,LSU
1,7,Cade Horton, Cubs,2022,RHP,Oklahoma
1,7,Ryan Weathers, Padres,2018,LHP,Loretto HS
1,7,Frank Mozzicato, Royals,2021,LHP,East Catholic HS
1,7,Nick Lodolo, Reds,2019,LHP,TCU
1,7,Nick Gonzales, Pirates,2020,2B,New Mexico State
1,8,Robert Hassell III, Padres,2020,OF,Independence HS
1,8,Josh Jung, Rangers,2019,3B,Texas Tech
1,8,Benny Montgomery, Rockies,2021,OF,Red Land HS
1,8,Carter Stewart, Braves,2018,RHP,Eau Gallie HS
1,8,Brooks Lee, Twins,2022,SS,Cal Poly
1,9,Gavin Cross, Royals,2022,OF,Virginia Tech
1,9,Kyler Murray, Athletics,2018,OF,Oklahoma
1,9,Shea Langeliers, Braves,2019,C,Baylor
1,9,Zac Veen, Rockies,2020,OF,Spruce Creek HS
1,9,Sam Bachman, Angels,2021,RHP,Miami University
1,10,Travis Swaggerty, Pirates,2018,OF,University of South Alabama
1,10,Gabriel Hughes, Rockies,2022,RHP,Gonzaga
1,10,Kumar Rocker, Mets,2021,RHP,Vanderbilt
1,10,Hunter Bishop, Giants,2019,OF,Arizona State
1,10,Reid Detmers, Angels,2020,LHP,Louisville
1,11,Kevin Parada, Mets,2022,C,Georgia Tech
1,11,Grayson Rodriguez, Orioles,2018,RHP,Central Heights HS
1,11,Alek Manoah, Blue Jays,2019,RHP,West Virginia
1,11,Garrett Crochet, White Sox,2020,LHP,Tennessee
1,11,Brady House, Nationals,2021,SS,Winder Barrow HS
1,12,Jace Jung, Tigers,2022,2B,Texas Tech
1,12,Brett Baty, Mets,2019,3B,Lake Travis HS
1,12,Jordan Groshans, Blue Jays,2018,3B,"Magnolia, TX"
1,12,Harry Ford, Mariners,2021,C,North Cobb HS
1,12,Austin Hendrick, Reds,2020,OF,West Allegheny HS
1,13,Patrick Bailey, Giants,2020,C,North Carolina State
1,13,Keoni Cavaco, Twins,2019,SS,Eastlake HS
1,13,Andrew Painter, Phillies,2021,RHP,Calvary Christian Academy
1,13,Connor Scott, Marlins,2018,OF,H.B. Plant HS
1,13,Zach Neto, Angels,2022,SS,Campbell University
1,14,Will Bednar, Giants,2021,RHP,Mississippi State
1,14,Bryson Stott, Phillies,2019,2B,UNLV
1,14,Justin Foscue, Rangers,2020,2B,Mississippi State
1,14,Jett Williams, Mets,2022,SS,Rockwall-Heath HS
1,14,Logan Gilbert, Mariners,2018,RHP,Stetson University
1,15,Mick Abel, Phillies,2020,RHP,Jesuit HS
1,15,Cole Winn, Rangers,2018,RHP,Orange Lutheran HS
1,15,Will Wilson, Angels,2019,SS,North Carolina State
1,15,Sal Frelick, Brewers,2021,OF,Boston College
1,15,Dylan Lesko, Padres,2022,RHP,Buford HS
1,16,Matthew Liberatore, Rays,2018,LHP,Mountain Ridge HS
1,16,Ed Howard, Cubs,2020,SS,Mt. Carmel HS
1,16,Chase DeLauter, Guardians,2022,OF,James Madison University
1,16,Corbin Carroll, D-backs,2019,OF,Lakeside HS
1,16,Kahlil Watson, Marlins,2021,SS,Wake Forest HS
1,17,Jackson Rutledge, Nationals,2019,RHP,San Jacinto College North
1,17,Matt McLain, Reds,2021,SS,UCLA
